vote_id,selected_tweet_id_str,voted_at,matchup_id
32824,1013511444783140865,2023-12-30 13:03:14.248426,5c3dcf29-4016-454f-a37e-c4835e0653ed
32825,1570042112347099137,2023-12-30 13:03:41.961749,1b277b90-2dae-45da-b23d-6e3b0461342d
32826,1609625079222083586,2023-12-30 13:04:14.064418,0d160b3a-06d6-49d3-9ee6-7227269746b1
32827,833715622060163072,2023-12-30 13:04:51.809256,fae13fe8-2c71-4f83-99fd-5d3da4c0a1f7
32828,1405653227912241158,2023-12-30 13:05:36.571606,ee64633d-4b86-454c-9beb-074d682bfe33
32829,903492157205430272,2023-12-30 13:05:39.314032,2ce57297-1161-489a-ba79-ecef7154dbda
32830,1033010780352929792,2023-12-30 13:05:54.520762,96eed840-4092-49fb-891c-bea0b0a1ee0c
32831,831541951686078465,2023-12-30 13:06:21.573372,e4f584d0-e862-47ce-a134-6a25dcbd47fb
32832,931632953062391808,2023-12-30 13:07:02.223556,ec3d7664-9588-4376-a0b7-ff9d258fb2b4
32833,999719628694749184,2023-12-30 13:07:43.678892,44593987-04ea-479a-bb9b-409779962d5a
32834,1546003206618103810,2023-12-30 13:07:59.183815,77eabfb5-e9f2-4b52-8e42-5e0e8dc828db
32835,782349934691581953,2023-12-30 13:08:03.243435,8eb892ce-a3b4-4ad5-9933-fd777b19a2b4
32836,979763149510344705,2023-12-30 13:08:08.452396,a3ac79b9-4149-4ac4-84d1-c9a721630728
32837,919519501569413120,2023-12-30 13:08:13.63964,61c01f6e-72c4-47c9-bd2b-97b2095604ba
32838,573191831363686400,2023-12-30 13:08:35.482105,ad5223e2-ef86-4482-aaef-99ebbdb0427e
32839,941075338708140032,2023-12-30 13:09:04.13007,ccc18898-ef83-45d4-8c98-892678d197f5
32840,638920412953313280,2023-12-30 13:09:26.93962,428ef3ba-a4ca-4673-8127-050d360da040
32841,959884889410691072,2023-12-30 13:10:03.542847,ce9e0eaa-b1d1-4441-bc83-b8e180426832
32842,1105952972066959363,2023-12-30 13:10:22.128485,d3c999f3-a1e6-4f32-898d-8791c18a5257
32843,1536893216615694338,2023-12-30 13:11:24.341179,c289c82f-7155-4584-9cd5-e38fa5d126d4
32844,908013131795857408,2023-12-30 13:11:34.68893,5b04a1eb-6887-40ef-913b-8e824e46e7e5
32845,1090366478535278602,2023-12-30 13:12:11.43983,98b0775d-f5bb-4f48-8a2b-c9ca3104d136
32846,443430834117558272,2023-12-30 13:12:32.963211,16d82217-e46c-4349-a1f5-741143b5d6cb
32847,1405653227912241158,2023-12-30 13:12:57.09818,d22a33a7-13ef-4c28-b995-e6f2379109e2
32848,965933477899091968,2023-12-30 13:13:14.678441,0cc63b50-50ac-42d1-a447-d4e7f5beece9
32849,966418484086403074,2023-12-30 13:13:21.646598,febdbe14-1b18-4248-a885-0059cbb99431
